시도명,시군구명,읍면동명,월_평균_소득_금액,지출_총금액,좌표
서울특별시,마포구,,3983795.16666667,4222894170000,
서울특별시,송파구,,3971246.37037037,809152568000,
서울특별시,영등포구,,3899728,606134238000,
서울특별시,동작구,,3874855.5,67074923000,
서울특별시,서대문구,,3659225,344916865000,
서울특별시,성동구,,3592738,148368272000,
서울특별시,중구,,3575692.92857143,10320417800000,
서울특별시,양천구,,3556134.22222222,427291253000,
서울특별시,용산구,,3452164.9,927160891000,
서울특별시,강서구,,3389697.75,136801441000,
서울특별시,광진구,,3301281,154570933000,
서울특별시,노원구,,3245476.25,389790321000,
서울특별시,구로구,,3101551.25,63229551000,
서울특별시,성북구,,3093470.28571429,173294010000,
서울특별시,관악구,,3024902.38095238,634809766000,
서울특별시,은평구,,2982624.71428571,175477866000,
서울특별시,강동구,,2956926.5,67734169000,
서울특별시,동대문구,,2941018.75,157601804000,
서울특별시,중랑구,,2655399.75,85268594000,
서울특별시,금천구,,2567594,157852963000,
서울특별시,강북구,,2500615.61538462,240955361000,
